10:31:03.121 [http-nio-8791-exec-12] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:65,doBefore设置当前数据源:DB2
10:31:03.122 [http-nio-8791-exec-11] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:64
10:31:03.122 [http-nio-8791-exec-12] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:65
10:31:03.123 [http-nio-8791-exec-12] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:65
10:31:03.125 [http-nio-8791-exec-12] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:65,determineCurrentLookupKey拿到数据源:DB2
10:31:03.123 [http-nio-8791-exec-11] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:64
10:31:03.127 [http-nio-8791-exec-11] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:64,determineCurrentLookupKey拿到数据源:DB2
10:31:03.138 [http-nio-8791-exec-13] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB2,当前请求线程ID:66
10:31:03.141 [http-nio-8791-exec-13] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:66,doBefore设置当前数据源:DB2
10:31:03.147 [http-nio-8791-exec-13] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:66
10:31:03.151 [http-nio-8791-exec-13] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:66
10:31:03.153 [http-nio-8791-exec-13] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:66,determineCurrentLookupKey拿到数据源:DB2
10:31:03.180 [http-nio-8791-exec-3] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-2 - Start completed.
10:31:03.180 [http-nio-8791-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
10:31:03.180 [http-nio-8791-exec-4] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-3 - Start completed.
10:31:03.188 [http-nio-8791-exec-14] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB0,当前请求线程ID:67
10:31:03.191 [http-nio-8791-exec-14] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:67,doBefore设置当前数据源:DB0
10:31:03.192 [http-nio-8791-exec-14] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:67
10:31:03.193 [http-nio-8791-exec-14] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:67
10:31:03.195 [http-nio-8791-exec-14] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:67,determineCurrentLookupKey拿到数据源:DB0
10:31:03.201 [http-nio-8791-exec-15] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB1,当前请求线程ID:68
10:31:03.204 [http-nio-8791-exec-15] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:68,doBefore设置当前数据源:DB1
10:31:03.210 [http-nio-8791-exec-15] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:68
10:31:03.213 [http-nio-8791-exec-15] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:68
10:31:03.216 [http-nio-8791-exec-15] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:68,determineCurrentLookupKey拿到数据源:DB1
10:31:03.240 [http-nio-8791-exec-16] INFO  c.e.m.c.DynamicDataSourceContextHolder - [setDataSourceType,24] - DynamicDataSourceContextHolder.setDataSourceType-->设置当前数据源:DB1,当前请求线程ID:75
10:31:03.246 [http-nio-8791-exec-16] INFO  c.e.mds.aop.DSAspect - [doBefore,48] - 当前请求线程ID:75,doBefore设置当前数据源:DB1
10:31:03.249 [http-nio-8791-exec-16] INFO  c.e.m.c.MultiDataSourcesController - [test,25] - /multi/data/sources/test-->当前请求线程ID:75
10:31:03.251 [http-nio-8791-exec-16] INFO  c.e.m.s.MultiDataSourcesService - [test,54] - service执行mapper数据库操作-->当前请求线程ID:75
10:31:03.254 [http-nio-8791-exec-16] INFO  c.e.m.c.DynamicDataSource - [determineCurrentLookupKey,28] - 当前请求线程ID:75,determineCurrentLookupKey拿到数据源:DB1
10:31:03.294 [http-nio-8791-exec-8] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='0号数据库'}]
10:31:03.294 [http-nio-8791-exec-3] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='0号数据库'}]
10:31:03.294 [http-nio-8791-exec-1] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='2号数据库'}]
10:31:03.296 [http-nio-8791-exec-4] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='1号数据库'}]
10:31:03.299 [http-nio-8791-exec-7] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='0号数据库'}]
10:31:03.302 [http-nio-8791-exec-14] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='0号数据库'}]
10:31:03.304 [http-nio-8791-exec-14] INFO  c.e.mds.aop.DSAspect - [doAfter,61] - 当前请求线程ID:67,After清除设置的数据源
10:31:03.303 [http-nio-8791-exec-15] INFO  c.e.m.s.MultiDataSourcesService - [test,56] - list:[DB0Entity{id=1, remarks='1号数据库'}]
